ECOREGION_CODE,ECO_NAME,Shrubland_CF,Protected_shrubland_CF,Grassland_CF,Protected_grassland_CF,Tundra_CF,Forest_CF,Protected_forest_CF,Pasture_CF,Protected_pasture_CF,Irrigated_crop_CF,Rainfed_crop_CF,Rockicedesert_CF,Urban_CF
NA0403,Appalachian-Blue Ridge forests,0,0,0,0,0,9.86E-11,0,1.10E-10,0,1.08E-10,1.03E-10,0,1.15E-10
NA0404,Central U.S. hardwood forests,0,0,0,0,0,2.69E-11,0,3.35E-11,0,3.24E-11,2.90E-11,0,3.70E-11
NA0405,East Central Texas forests,0,0,0,0,0,6.94E-11,0,9.55E-11,0,9.34E-11,8.14E-11,0,1.09E-10
NA0406,Eastern forest-boreal transition,0,0,0,0,0,6.07E-12,0,8.41E-12,0,8.11E-12,6.99E-12,0,9.59E-12
NA0407,Eastern Great Lakes lowland forests,0,0,0,0,0,1.65E-11,0,2.60E-11,0,2.53E-11,2.11E-11,0,3.06E-11
NA0408,Gulf of St. Lawrence lowland forests,0,0,0,0,0,2.21E-11,0,3.95E-11,0,3.87E-11,3.12E-11,0,4.78E-11
NA0409,Mississippi lowland forests,0,0,0,0,0,3.63E-11,0,4.81E-11,0,4.61E-11,4.04E-11,0,5.39E-11
NA0410,New England-Acadian forests,0,0,0,0,0,1.04E-11,0,1.46E-11,0,1.41E-11,1.21E-11,0,1.66E-11
NA0411,Northeastern coastal forests,0,0,0,0,0,3.11E-11,0,4.50E-11,0,4.36E-11,3.72E-11,0,5.20E-11
NA0412,Ozark Mountain forests,0,0,0,0,0,9.91E-11,0,1.21E-10,0,1.19E-10,1.09E-10,0,1.32E-10
NA0413,Southeastern mixed forests,0,0,0,0,0,3.14E-11,0,3.93E-11,0,3.79E-11,3.41E-11,0,4.31E-11
NA0414,Southern Great Lakes forests,0,0,0,0,0,1.97E-11,0,2.79E-11,0,2.70E-11,2.32E-11,0,3.19E-11
NA0415,Upper Midwest forest-savanna transition,0,0,0,0,0,1.48E-11,0,2.18E-11,0,2.10E-11,1.77E-11,0,2.54E-11
NA0416,Western Great Lakes forests,0,0,0,0,0,9.41E-12,0,1.33E-11,0,1.29E-11,1.10E-11,0,1.53E-11
NA0417,Willamette Valley forests,0,0,0,0,0,2.19E-10,0,3.50E-10,0,3.44E-10,2.86E-10,0,4.16E-10
NA0501,Alberta Mountain forests,0,0,0,0,0,2.72E-11,0,5.10E-11,0,5.00E-11,3.99E-11,0,6.23E-11
NA0502,Alberta-British Columbia foothills forests,0,0,0,0,0,1.16E-11,0,2.05E-11,0,2.01E-11,1.62E-11,0,2.49E-11
NA0503,Arizona Mountains forests,0,0,0,0,0,5.79E-11,0,9.06E-11,0,8.87E-11,7.44E-11,0,1.06E-10
NA0504,Atlantic coastal pine barrens,0,0,0,0,0,8.17E-11,0,1.36E-10,0,1.32E-10,1.09E-10,0,1.62E-10
NA0505,Blue Mountains forests,0,0,0,0,0,4.08E-11,0,6.85E-11,0,6.71E-11,5.50E-11,0,8.22E-11
NA0506,British Columbia mainland coastal forests,0,0,0,0,0,2.17E-11,0,3.59E-11,0,3.52E-11,2.90E-11,0,4.28E-11
NA0507,Cascade Mountains leeward forests,0,0,0,0,0,4.97E-11,0,9.20E-11,0,9.04E-11,7.24E-11,0,1.12E-10
NA0508,Central and Southern Cascades forests,0,0,0,0,0,1.00E-10,0,1.47E-10,0,1.45E-10,1.25E-10,0,1.70E-10
NA0509,Central British Columbia Mountain forests,0,0,0,0,0,2.11E-11,0,3.95E-11,0,3.88E-11,3.09E-11,0,4.83E-11
NA0510,Central Pacific coastal forests,0,0,0,0,0,6.98E-11,0,9.39E-11,0,9.25E-11,8.14E-11,0,1.06E-10
NA0511,Colorado Rockies forests,0,0,0,0,0,3.15E-11,0,5.08E-11,0,4.94E-11,4.09E-11,0,6.02E-11
NA0512,Eastern Cascades forests,0,0,0,0,0,5.58E-11,0,9.22E-11,0,9.03E-11,7.45E-11,0,1.10E-10
NA0513,Florida sand pine scrub,0,0,0,0,0,2.57E-10,0,4.57E-10,0,4.46E-10,3.60E-10,0,5.52E-10
NA0514,Fraser Plateau and Basin complex,0,0,0,0,0,1.43E-11,0,2.53E-11,0,2.48E-11,2.00E-11,0,3.06E-11
NA0515,Great Basin montane forests,0,0,0,0,0,2.75E-10,0,5.08E-10,0,4.99E-10,4.00E-10,0,6.19E-10
NA0516,Klamath-Siskiyou forests,0,0,0,0,0,1.34E-10,0,1.95E-10,0,1.92E-10,1.65E-10,0,2.25E-10
NA0517,Middle Atlantic coastal forests,0,0,0,0,0,4.77E-11,0,5.75E-11,0,5.53E-11,5.02E-11,0,6.24E-11
NA0518,North Central Rockies forests,0,0,0,0,0,1.65E-11,0,2.68E-11,0,2.63E-11,2.17E-11,0,3.19E-11
NA0519,Northern California coastal forests,0,0,0,0,0,2.32E-10,0,3.84E-10,0,3.78E-10,3.13E-10,0,4.56E-10
NA0520,Northern Pacific coastal forests,0,0,0,0,0,2.09E-11,0,3.58E-11,0,3.53E-11,2.88E-11,0,4.31E-11
NA0521,Northern transitional alpine forests,0,0,0,0,0,5.09E-11,0,9.91E-11,0,9.74E-11,7.71E-11,0,1.22E-10
NA0522,Okanagan dry forests,0,0,0,0,0,4.40E-11,0,8.25E-11,0,8.09E-11,6.46E-11,0,1.01E-10
NA0523,Piney Woods forests,0,0,0,0,0,2.72E-11,0,3.93E-11,0,3.80E-11,3.26E-11,0,4.50E-11
NA0524,Puget lowland forests,0,0,0,0,0,1.23E-10,0,2.09E-10,0,2.05E-10,1.68E-10,0,2.50E-10
